external_id,title,project_lead_name,co_researchers,institution,province,country,competition_year,award_amount,program,program_type,theme,research_subject,keywords,abstract,duration,source_url
163301,Granzyme B in Hair Follicle Growth,Granville  David J,"Granville, David J; McElwee, Kevin J",University of British Columbia,British Columbia,Canada,200802,99927.0,Catalyst Grant: Skin Diseases and Conditions,Operating Grants,Biomedical,Musculoskeletal Health and Arthritis,Alopecia; Alopecia Areata; Apoptosis; Atherogenesis; Granzyme B; Growth Regulation; Hair Follicles; Hair Growth Cycle,"Hair loss is a common and distressing problem which can affect men, women, and children. There are several different types of baldness including androgenetic alopecia, better known as pattern baldness, and alopecia areata, a condition that involves immune cells targeting hair follicles and causing patchy hair loss. Recent research on patients has suggested that there may be a link between having androgenetic alopecia and susceptibility to having a heart attack. The research groups of Dr Granville, an expert on heart disease, and Dr McElwee, an expert on hair loss, have teamed up to look for the biological factors that could link baldness to increased risk of heart disease.
Our preliminary investigation has suggested that some rodent models susceptible to heart disease are more likely to develop hair loss while models resistant to heart disease have increased hair growth. Equally, a rodent model of alopecia areata is more likely to have heart problems. Biological factors that cause cell death in heart disease, particularly one called granzyme B, also seem to be expressed in hair follicles. We saw levels of granzyme B increased with the development of alopecia areata. These initial observations suggest granzyme B might be a biological link between heart disease and hair loss.
Our proposal involves looking at granzyme B in the skin and how it may alter hair growth. We intend to; 1)determine the expression of granzyme B in hair follicles and how expression changes as hair follicles grow, 2)examine the effects of granzyme B deficiency on normal hair follicle growth, and 3) examine the effects of suppressing granzyme B expression in an alopecia areata disease model. 
We anticipate that increased granzyme B activity is associated with increased hair loss and suppressing it may inhibit hair loss. It is possible that an increased granzyme B action evident in alopecia may reflect an increased granzyme B mediated activity in heart disease development in the same individual.",1 yr 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=163301&lang=en
163302,The role of Periostin in promoting epithelial-myofibroblast transition and avoidance of apoptosis in cutaneous wound healing,O'Gorman  David B,"O'Gorman, David B; Dagnino, Lina",Western University (Ontario),Ontario,Canada,200802,53013.0,Catalyst Grant: Skin Diseases and Conditions,Operating Grants,Biomedical,Musculoskeletal Health and Arthritis,Epithelial-Mesenchymal Transition; Mouse Model; Myofibroblast; Periostin; Scarring And Fibrosis; Wound Healing,"Wound healing abnormalities has been estimated to affect at least 4.5 million people in North America. Normal wound healing is an orderly and efficient process that includes the conversion of cells, commonly referred to as fibroblasts, into myofibroblasts to contract the edges of the wound together. Normally myofibroblasts undergo cell death after the wound is contracted, however in abnormal healing situations such as scarring, myofibroblasts are evident in increased numbers and persist after the wound has healed. In addition to the fibroblasts resident in the dermis, it has recently been suggested that these cells may arise through the conversion of cells in the epidermis into myofibroblasts in the dermis, a process known as epithelial-mesenchymal transition (EMT). EMT occurs in fetal development and cancer cell formation. Recently, the protein Periostin has come under intense scrutiny in cancer research, where it has been shown to promote EMT and enhance tumor cell persistence. We have previously shown that Periostin is transiently expressed during normal skin wound healing and that it persists in scar tissue. This research proposal will address whether Periostin induces EMT and promotes myofibroblast formation from epidermal cells during normal wound healing. We will also investigate whether Periostin can enhance myofibroblast survival in scar tissue. These studies have the potential to identify Periostin a target for therapies to reduce scar formation and other abnormal wound healing conditions.",1 yr 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=163302&lang=en
163305,Understanding the molecular determinants of shingles,Pearson  Angela,"Pearson, Angela","INRS - (Qu&eacute;bec, QC)",Qu&eacute;bec,Canada,200802,76121.0,Catalyst Grant: Skin Diseases and Conditions,Operating Grants,Biomedical,Musculoskeletal Health and Arthritis,Chicken Pox; Molecular Virology; Post-Herpetic Neuralgia; Shingles; Varicella Zoster Virus; Virus-Host Cell Interaction,"Shingles is a debilitating disease that causes painful and disfiguring blistering skin lesions.  In many afflicted individuals, pain continues for months or years following the illness in the form of post-herpetic neuralgia.  Shingles is caused by varicella zoster virus (VZV).  Initial infection with this virus causes chickenpox, following which the virus persists in the host in a latent form.  However, in many individuals the virus will eventually reactivate causing shingles.  This reactivation is associated with a weakened immune system, and thus is typically found with advancing age, as well as in immunosuppressed individuals.  The availability of an attenuated chickenpox vaccine has resulted in a decrease in the incidence of this disease, and more recently an attenuated vaccine against zoster has entered the market, but in both cases efficacy is incomplete.  In the context of an aging population, even with the recent vaccine advances, the impact of shingles on Canadians can be expected to remain a significant cause of long-term pain, particularly in older individuals.  In order to develop new treatments for shingles, a better understanding of the interactions at the molecular level between the causative agent, VZV, and the host cell is required.  VZV is a member of the neurotropic sub-family of herpesviruses, a group that also includes herpes simplex virus 1 (HSV-1).  As with HSV-1, multiple steps in the life cycle of VZV take place within the nucleus of the cell, including the maintenance of the latent genome and subsequent reactivation from latency.  Our objective in this pilot project is to begin to elucidate how VZV-induced modifications of the host cell nucleus contribute to efficient viral replication.  The results from this project should contribute to a better understanding of the molecular mechanisms of VZV replication and reactivation, information that can then be exploited in the development of new treatment strategies for shingles.",1 yr 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=163305&lang=en
163307,The Biomechanics of Skin Blistering Diseases: A Cellular and Biophysical Approach.,Fudge  Douglas S,"Fudge, Douglas S",University of Guelph,Ontario,Canada,200802,90322.0,Catalyst Grant: Skin Diseases and Conditions,Operating Grants,Biomedical,Musculoskeletal Health and Arthritis,Biomechanics; Biophysics; Epidermolysis Bullosa Simplex; Intermediate Filaments; Keratin; Skin,"Epidermolysis Bullosa Simplex (EB) is a genetic disease characterized by blistering or erosion of the skin. Here we propose to study the physical basis and mechanisms of this disease. Mutations in a variety of structural proteins in skin can give rise to EB, but it is not known exactly how these defects weaken the skin. This proposal focuses on two components of skin cells that have been implicated in EB - keratin intermediate filaments (IF) and desmosomes. Keratin IFs are protein filaments that form a dense network in the cytoplasm and are believed to impart cells with mechanical strength. Mutations in keratin IF genes have been shown to lead to a form of EB known as EB Simplex (EBS). In EBS patients, the IF network in skin cells is defective, which is believed to make them mechanically fragile. Of course a network of keratin IFs alone does not guarantee mechanical strength - the filaments must be anchored to structures that are equally strong. Indeed, IFs are anchored in spot-weld like structures called desmosomes. Together, IFs and desmosomes link skin cells into a tough mechanical continuum. We will conduct two kinds of experiments using both wild type cells and cells expressing mutant keratin IF and desmosomal proteins. In the first, we will mechanically deform skin cells that are adhered to a deformable substrate and assess the effects on cell viability and the structure of the IF network. In the second set of experiments, we will investigate the biomechanics of wild type and mutant IFs using purified IFs. The results of these experiments will provide new insights into the mechanical function of IFs and desmosomes in skin, and the mechanisms by which defects in these structures can lead to human disease. They will also help us develop an in vitro model that we can use to evaluate the efficacy of potential treatments for this debilitating disease.",1 yr 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=163307&lang=en
163312,Manipulating regulatory T cells to control inflammatory skin disease,Dutz  Jan P,"Dutz, Jan P",University of British Columbia,British Columbia,Canada,200802,100000.0,Catalyst Grant: Skin Diseases and Conditions,Operating Grants,Biomedical,Musculoskeletal Health and Arthritis,Autoimmunity; Dendritic Cell; Flow Cytometry; Regulatory T Cell; Ultraviolet Light,"Inflammatory skin disease is common and often debilitating. Examples of chronic and debilitating skin conditions include psoriasis, vitiligo, alopecia areata and graft versus host disease. Regulatory T cells are powerfull inhibitors of inflammation. In this proposal, a team of clinicans and scientists will explore the function and manipulation of regulatory T cells to treat chronic skin disease.",1 yr 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=163312&lang=en
163317,Modèles d'étude nouveaux et polyvalents produits par génie tissulaire pour l'analyse des cancers de la peau,Auger  Fran&ccedil;ois A,"Auger, François A",Universit&eacute; Laval,Qu&eacute;bec,Canada,200802,100000.0,Catalyst Grant: Skin Diseases and Conditions,Operating Grants,Biomedical,Musculoskeletal Health and Arthritis,Cancers; Génie Tissulaire; Maladies De La Peau; Modèles In Vitro; Mélanomes; Peau,"Les maladies de la peau devraient susciter davantage de recherches pour de nouveaux traitements. Les cancers de la peau, et en particulier les mélanomes, font partie des plus graves problèmes en dermatologie.  Le fait que les cas de mélanomes semblent augmenter et qu'ils peuvent rapidement provoquer la formation de métastases rend ce type de cancer une cible importante pour la recherche médicale.  Le processus par lequel des mélanomes se développent et la formation des métastases sont des processus complexes.  La simple culture de cellules permet de décortiquer plusieurs éléments précis mais ne possède pas les autres éléments présents dans la peau.  Les modèles animaux offrent un environnement expérimental complexe mais dans lequel il est parfois difficile de bien isoler l'effet des différents facteurs.  Les substituts cutanés produits par génie tissulaire avec des cellules de peau humaine offrent une solution intermédiaire intéressante en créant un environnement tridimensionnel comportant les principaux éléments de la peau.  Grâce à ce type de modèle plusieurs éléments critiques de maladies de la peau telles que le cancer et le psoriasis, par exemple, pourront être examinés.",1 yr 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=163317&lang=en
167487,Can a mobile falls prevention clinic reduce the risk of falls in community dweling seniors?,Singh  Sonia,"Singh, Sonia; Scott, Vicky J","Fraser Health Authority (Surrey, BC)",British Columbia,Canada,200803,113783.0,Operating Grant: Demonstration Projects in Mobility in Aging,Operating Grants,Health systems / services,Aging,Cohort Study; Cost-Effectiveness; Falls And Injury Prevention; Mobile Clinic; Osteoporosis; Seniors,"An estimated 30 percent of community dwelling individuals over 65 years of age fall at least once each year.  Consequences of falls include fractures, head concussions, bruises, and lacerations. ""Fear of Falling"" results in restricted activity, increased dependency on others and a decrease in social interaction.  The injuries associated with falls in the elderly account for over $1.0 billion in annual health care costs in Canada. 
 
This research study aims to determine if a Mobile Falls Prevention Clinic, traveling to seniors in their own community, would improve access to falls prevention services and prevent falls and falls-related injuries from occurring.  Those seniors that agree to participate in the study will be followed for 12 months during which time they will all undergo the Mobile Falls Prevention Clinic Program.  Each study participant will undergo a special falls risk assessment called the Physiological Profile Assessment during their Mobile Falls Prevention Clinic visit.  This assessment will be repeated 12 months later.  During the 12 month period after the clinic visit, study participants will keep a record of their falls and falls related injuries and check in with study personnel on a monthly basis.   Study participants' medical records will be reviewed for details around falls and falls related injuries.  A cost benefit analysis will take place alongside the study to determine if the Mobile Clinic format is a cost-effective way of delivering falls prevention services.

The Mobile Falls Prevention Clinic has the potential to dramatically improve the lives of elderly seniors by reducing the risk of falling.  Preventing falls and falls related injuries could help keep seniors mobile and community dwelling for as long as possible and prevent or delay long term institutional care.",3 yrs 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=167487&lang=en
167488,"Exercise in Older Adults: A demonstration and evaluation of the ""Get Fit for Active Living"" intervention.",Paterson  Donald H,"Paterson, Donald H; Fitzgerald, Clara; Speechley, Mark",Western University (Ontario),Ontario,Canada,200803,341383.0,Operating Grant: Demonstration Projects in Mobility in Aging,Operating Grants,Social / Cultural / Environmental / Population Health,Aging,Behaviour Modification / Adherence; Delayed Catch-Up Research Design; Evaluation; Functional Fitness; Knowledge Translation; Physical Activity For Older Adults,"Policies on physical activity for older adults tend to advocate even minor increases in daily physical activity, on the grounds that any is better than none.  While this may be true, recent evidence suggests that minor increases in activity result in at most minor gains in health. To achieve full benefit of an active lifestyle, a more structured exercise/activity program is required. The program should consist of moderate and vigorous intensity aerobic activity for 30 minutes/day, 4-5 days/week to gain cardiorespiratory fitness, prevent functional decline, and strength and power exercises 2 days/week to maintain muscle mass and performance. Thus, there is a disconnect between best practices, and what is believed by most to be the type and amount of physical activity required by older adults to engender health, functional fitness, and independent living.  Many people begin exercising each year.  In spite of good intentions, a lot of them do not continue to exercise.  Recognizing this problem, the Canadian Centre for Activity and Aging (CCAA) developed an 8-week intervention(""Get Fit for Active Living"", GFAL) that educates older adults about the importance of exercise, and provides experience in developing an exercise routine, which in turn motivates them to maintain the lifestyle.  The rationale was that older adults need ""experiential learning"" while they develop an exercise program, and that with gains in fitness the older adults would experience less fatigue in daily activities and maintain a more active lifestyle. The CCAA has trained over 40 facilitators of this program nationally, and initial pilot work suggests the program indeed fosters adherence to an active lifestyle. Over 3 years, this project will formally evaluate the GFAL program by studying its effect on the functional fitness, quality of life, and enhanced independence of 300 older adult ""Meals on Wheels"" volunteers across Canada, and how effective the uptake of the program is at the community level.",3 yrs 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=167488&lang=en
167489,Entraînement physique et stimulation cognitive pour améliorer la mobilité des personnes âgées fragiles,Bherer  Louis,"Bherer, Louis","CIUSSS du Centre-Sud-de-l'&Icirc;le-de-Montr&eacute;al (Montr&eacute;al, Qu&eacute;bec)",Qu&eacute;bec,Canada,200803,189950.0,Operating Grant: Demonstration Projects in Mobility in Aging,Operating Grants,Clinical,Aging,Activité Physique; Cognition; Mobilité; Vieillissement,"L'objectif principal de ce projet de recherche est d'évaluer l'efficacité d'un programme d'entraînement physique combiné à des séances de stimulation cognitive, pour améliorer les capacités physiques et cognitives associées à la mobilité. Le projet vise aussi à vérifier l'impact de ces interventions sur la qualité de vie des personnes âgées légèrement et modérément fragiles. Des personnes âgées seront suivies au Centre de recherche de l'Institut universitaire de gériatrie de Montréal et évaluées par des cliniciens (gériatres, physiothérapeutes, psychologues) qui souhaitent prescrire de l'activité physique à ces personnes. Il est attendu que ce projet de recherche permette une évaluation scientifique rigoureuse de l'efficacité de ces prescriptions et évalue la faisabilité de la mise en place des programmes d'activités physiques et cognitives pour les personnes âgées fragiles.",3 yrs 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=167489&lang=en
167490,A Inpatient Rehabilitation Model of Care Targeting Patients with Cognitive Impairment: A demonstration project,McGilton  Katherine S,"McGilton, Katherine S",Toronto Rehabilitation Institute-UHN,Ontario,Canada,200803,362915.0,Operating Grant: Demonstration Projects in Mobility in Aging,Operating Grants,Health systems / services,Aging,Demonstration Project; Non-Equivalent Quasi-Experimental Design; Rehabilitation Of Patients With Cognitive Impairment; Rehabilitation Of Patients With Hip Fractures,"Hip fractures are a danger to an individual's mobility, independence and ability to live in the community.  When patients have a cognitive impairment (such as dementia or delirium) they do not recover as well or go back to their homes as often as those patients who  do not have a cognitive impairment.  Therefore, our team developed a rehabilitation model to care for patients with hip fractures,  and specifically for those patients with CI.  The model of care is called the Patient Centred Rehabilitation Model of Care (PCRM-CI).  This 3 year study will focus on comparing the new model with usual rehabilitation care.  This study will also focus on understanding the factors that could influence the use of the model on new rehabilitation units.   We will collect data in 2 hospitals, 70 patients receiving the usual care and 70 patients receiving the care in the new model.  We will invite 70 staff and their unit managers  as well.  This study will help policy makers to use research findings to make better decisions about care of older Canadians.",3 yrs 0 mth,https://webapps.cihr-irsc.gc.ca/decisions/p/project_details.html?applId=167490&lang=en
