id,projectNumber,dateModified,title,description,status,start,end,countries,executingAgencyPartner,DACSectors,maximumContribution,ContributingOrganization,expectedResults,resultsAchieved,aidType,collaborationType,financeType,flowType,reportingOrganisation,programName,selectionMechanism,policyMarkers,regions,alternameImPositions,budgets,Locations,otherIdentifiers,participatingOrgs,programDataStructure,relatedActivities,transactions
1,CA-3-A020449003,2025-03-04T06:33:31,Program Support Unit - Cameroon - 2008-2013,"The Program Support Unit (PSU) provides essential services to support the planning and delivery of Canada's development assistance to Cameroon. Such services include logistical and administrative services, project monitoring and analytical and professional services. The PSU is managed locally.",Closed,2008-07-02T00:00:00,2012-11-21T00:00:00,"[""Cameroon 100.00%""]",High Commission of Canada to Cameroon ,"[""Multisector aid 100.00%""]",2457111.50,,,,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""727720.00"", ""791661.00"", ""780384.00""]","[""3.86667 11.51667""]","[""2008000622""]","[""High Commission of Canada to Cameroon ""]",,,"[""2457111.50""]"
2,CA-3-A021363001,2025-03-04T06:33:31,Community Health Support,"This project aims to rehabilitate the health care system in the rural periphery of the Democratic Republic of Congo's (DRC) capital, Kinshasa, in an effort to improve the quality of life of the thousands of people who do not have access to basic health services. CIDA plans to achieve this goal through the rehabilitation of the health care system's infrastructure, an increase in the capacities of those with authority in the health district of N'sele, and the support of grassroot community organizations. The project responds to the need for support in the areas of women and children's health, reproductive health and the campaign against HIV/AIDS.",Closed,2003-05-15T00:00:00,2014-03-31T00:00:00,"[""Congo, Democratic Republic 100.00%""]",Consortium : Groupe Consultation CCISD (GCC) et MIR Partenariats et développement international,"[""Basic health care 30.00%"", ""Basic health infrastructure 10.00%"", ""Infectious disease control 20.00%"", ""Health personnel development 10.00%"", ""STD control including HIV/AIDS 10.00%"", ""Basic drinking water supply 10.00%"", ""Basic sanitation 10.00%""]",8846131.41,,,"Results achieved as of the end of the project (December 2011) include: health services coverage in the areas targeted by the project grew from 44% in 2003 to 95% in 2010; 94% of the health centres in the three health zones were constructed or rehabilitated by the project; prenatal consultation rate grew from 52% in 2003 to 82% in 2010; assisted births from trained personnel grew from 36% in 2003 to 90% in 2010; immunization coverage noticeably increased: immunization coverage for tuberculosis grew from 65% in 2003 to 98% in 2010, immunization coverage for diphtheria, tetanus and whooping cough from 58% in 2003 to 95% in 2010, immunization coverage for measles from 51% in 2003 to 83% in 2010; the percentage of women of child-bearing age receiving counselling services for family planning, in N'sele district went from 1% in 2003 to 15% in 2010 - this activity was initiated by the project; community participation increased, operational resources committees grew from 11 in 2003 to 28 in 2010. The project also contributed to the empowerment of the provincial medical depot (CAMESKIN) through the implementation of necessary tools to optimize the distribution of medicines to the health centres at the district level.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1239372.00"", ""1175489.00"", ""978803.00"", ""1254679.00""]","[""-4.32758 15.31357""]","[""2002000469""]","[""Consortium : Groupe Consultation CCISD (GCC) et MIR Partenariats et développement international""]",,,"[""8846131.41""]"
3,CA-3-A021860001,2025-03-04T06:33:31,Integrated Watershed Management,"The project operates in five sub-watersheds in Northern Nicaragua, comprising the headwaters of the Rio Viejo and the Estero Real. The selected watersheds are located in the departments of Madriz, Nueva Segovia, Matagalpa, Leon, Esteli, and Jinotega.   The project includes two components: 1) Governance / Institutional Strengthening: The project focuses on improving service delivery by municipalities in the context of water-related initiatives. This component develops the capacity of municipalities' technical units to plan, manage finances, efficiently and effectively manage operations, and respond to community needs. 2) Private Sector Development / Environment / Watershed Management: This component works with watershed users to improve natural resource management for environmental protection and agricultural production, in the context of sub-watershed plans and municipal water resource plans. This is achieved through improving production methods, soil and water conservation, improved waste management, agro-forestry, and capacity building.",Closed,2007-01-24T00:00:00,2014-12-31T00:00:00,"[""Nicaragua 100.00%""]",CARE Canada ,"[""Public sector policy and administrative management 20.00%"", ""Democratic participation and civil society 20.00%"", ""Agricultural water resources 30.00%"", ""Rural development 30.00%""]",8774339.02,,,"Results achieved as of the end of the project include: (i) Five sub-watershed plans for the North of Nicaragua were designed and adopted by five municipalities in order to better manage their natural resources; (ii) 18 technical staff of the targeted 17 municipalities were trained in sustainable environmental management; (iii) 2,915 farmers have increased their environmental awareness and have adopted improved techniques for more sustainable production (including agro-forestry practices, use of certified seeds, and pest management); (iv) 1,503 farmers have diversified their crops and have improved income generation throughout the year; (v) 101 community-based water and sanitation systems were built; (vi) 14,022 people now have access to reliable and safe drinking water; (vii) 2,338 latrines were installed benefitting 13,251 people; (vi) 19,937 people from 106 communities have improved their health as a result of the installation of 5,105 new efficient stoves.",Donor country personnel,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""500000.00"", ""1570000.00"", ""1610000.00"", ""1370000.00"", ""1655000.00"", ""1640000.00"", ""1605000.00""]","[""13.48082 -86.58208"", ""13.63208 -86.47516"", ""12.92559 -85.91747"", ""12.13282 -86.2504"", ""12.43787 -86.87804"", ""13.09151 -86.00327"", ""13.09185 -86.35384""]","[""2009200001""]","[""CARE Canada ""]",,,"[""8774339.02""]"
4,CA-3-A030451001,2025-03-04T06:33:31,Water Harvesting and Institutional Strengthening,The goal of this design-and-deliver project is to increase the capacity of Amhara regional government institutions and farmer associations to develop and promote the sustainable use of water for irrigation and improved agricultural production.,Closed,2005-01-21T00:00:00,2013-06-30T00:00:00,"[""Ethiopia 100.00%""]",Hydrosult Inc. ,"[""Agricultural policy and administrative management 10.00%"", ""Agricultural land resources 10.00%"", ""Agricultural water resources 30.00%"", ""Food crop production 10.00%"", ""Agricultural extension 30.00%"", ""Agricultural education/training 10.00%""]",16906705.22,,,"Results achieved as of the end of the project (June 2013) include increased capacity of government partners to support food security for male and female farmers through improved water management. Since the start of the project, 7,300 farmers have been trained in water harvesting, irrigation, and watershed management by project supported districts, for a cumulative total of 21,952 (3,254 female). As a result of this training, local watershed management has improved, with an average of 58 percent (1,232 hectares) of six watersheds protected by fences, terracing, and other biological and physical conservation structures. Eleven percent of this coverage was achieved in the reporting year.  The project supported piloting of 82 household water harvesting structures which include ponds and wells, have resulted in the construction of more than 1,500 additional ponds and wells from local government resources. The project has also contributed to improved institutional capacity of government partners which has resulted in the design of 41 small to medium scale irrigation schemes by government partners since 2009/2010. Improved management of all irrigation schemes built and rehabilitated by the project resulted in the formation of 24 new water user associations and the strengthening of four existing ones. These measures have increased the availability of water for agricultural use and are contributing to improved agricultural production and food security.",Donor country personnel,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""500000.00"", ""5600000.00"", ""4600000.00"", ""3600000.00"", ""1350000.00"", ""1280000.00"", ""0.00""]","[""11.500000  38.500000""]","[""2005000005""]","[""Hydrosult Inc. ""]",,,"[""16906705.22""]"
5,CA-3-A030584002,2025-03-04T06:33:31,Islamic Studies and Social Equity Project -Tsunami,"Building on a 50-year relationship with its partner, McGill expands the existing Islamic Studies and Social Equity Project (IISEP) to help the Indonesia State Institute for Islamic Studies (IAIN) Ar-Raniry restore capacity damaged by the tsunami. Support focuses on rehabilitating the library, developing teacher-training resources, replacing and upgrading academic staff, and strengthening teaching capacity.",Closed,2005-07-29T00:00:00,2009-12-31T00:00:00,"[""Indonesia 100.00%""]",McGill University ,"[""Education facilities and training 30.00%"", ""Teacher training 40.00%"", ""Reconstruction relief and rehabilitation 30.00%""]",2331697.58,,,"Results as of June 2008: Four lecturers were able to complete short-term training at McGill University while ten lecturers have completed comparative study visits to three Indonesian institutions. Members of the Women’s Studies Centre (PSW) at IAIN Ar-Raniry attended a seminar on Gender, Human Rights, and Syari’ah. The PSW has started identifying the issues that it will address, including economic development, health services for pregnant women and mothers, and promotion of religious tolerance. PSW members have also improved their knowledge of gender and Islam through monthly discussions. In addition, the PSW carried out research on Acehnese women’s struggles during 30 years of civil conflict, the results of which will be published in a book.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""300000.00"", ""700000.00"", ""700000.00"", ""800000.00""]","[""-6.21462 106.84513""]","[""2005000376""]","[""McGill University ""]",,"[""CA-3-A030584001""]","[""2331697.58"", ""316187.62"", ""364045.48"", ""268538.48"", ""398980.00"", ""319520.70"", ""178308.76"", ""192447.74"", ""293668.75""]"
6,CA-3-A030590001,2025-03-04T06:33:31,New Programming Approaches Phase II,"This project contributes to defining a new approach to development cooperation that includes increased horizontal cooperation between member states of the Organization of American States (OAS), the sharing of experiences and expertise, and the use of new information and communications technologies (ICTs). The project consists of 10 sub-projects implemented at the regional level and in specific countries in the Americas. The sub-projects are: Corporate Social Responsibility; Best Practices Forum of the Americas; Municipal Efficiency and Transparency (MuNet); Computers for Schools and Communities; E-Government Service Centres; Education for Democratic Citizenship in the Caribbean; CapaciNet; MuNet Cadastre; MuNet E-Gov; and Small and Medium E-Enterprises.   This project is implemented by the Executive Secretariat for Integral Development at the OAS.",Closed,2003-03-18T00:00:00,2011-12-30T00:00:00,,OAS - Organization of American States ,"[""Multisector aid 100.00%""]",4584272.00,,,"Results achieved as of the end of the project (December 2011) include: The ""Improving Democratic Governance in Latin America and the Caribbean: E-learning for Institutional Capacity Building"" project was instrumental in the creation of the Organization of American States (OAS) Virtual Campus. The Virtual Campus currently offers 21 online courses, and, as of August 2012, had trained and certified 10,000 registered government officers. The ""Municipal Efficiency and Transparency (MuNet) e-Government"" project led to the development of a comprehensive methodological package that currently includes several e-Government applications at the municipal level and a recognized registered brand. MuNet e-Government is working with more than 100 municipalities in Panama, Guatemala, Paraguay, and Costa Rica.   These results have contributed to supporting the Executive Secretariat for Integral Development and the Secretariat for Political Affairs of the OAS in adopting new approaches to technical assistance and programming and developing new methods to promote the exchange of relevant experiences, expertise and best practices between member states using information and communication technologies.",Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]","[""America, regional""]",,"[""500000.00"", ""1500000.00"", ""1000000.00"", ""1000000.00"", ""1000000.00""]","[""-12.043255 -77.028279"", ""12.136435 -86.250615"", ""14.082927 -87.206469"", ""14.614440 -90.534446"", ""-16.499237 -68.146777"", ""18.539741 -72.336597"", ""23.117332 -82.388985"", ""4.598056 -74.075833""]","[""2009200002""]","[""OAS - Organization of American States ""]",,,"[""4584272.00"", ""400000.00"", ""400000.00"", ""350000.00"", ""400000.00"", ""400000.00"", ""230000.00"", ""881473.00"", ""400000.00"", ""1254947.00"", ""-132148.00"", ""-26632.50""]"
7,CA-3-A030597001,2025-03-04T06:33:31,Gender Responsive Economic Actions - Transformation of Women,"The Gender Responsive Economic Actions for the Transformation of Women (GREAT Women) project assists the Philippine Commission on Women, and its partners at the national and local levels, to contribute to the economic empowerment of women by strengthening their capacities to develop, implement, monitor and evaluate gender-responsive economic legislation, policies, programs, and services, especially those related to microenterprise.",Closed,2006-11-16T00:00:00,2014-02-28T00:00:00,"[""Philippines 100.00%""]",Government of the Philippines - Philippines Commission on Women ,"[""Public sector policy and administrative management 70.00%"", ""Decentralisation and support to subnational government 30.00%""]",6026656.56,,,"Results achieved as of the end of project (February, 2014) include: (1) enhanced profile of the Philippine Commission on Women as an innovator in advancing women’s economic empowerment (WEE) having presented the project results in the Philippine Government Cabinet cluster meetings and in regional conferences in ASEAN, ADB and APEC as well as internationally and in the UN; (2) improved policy framework for women’s economic empowerment both at national and subnational levels of government; (3) Other national government agencies and local government units (LGUs) have adopted specific WEE measures and dedicated budget that have led to improved responsiveness to women’s economic needs and improved services for women, especially those working in the informal sector; (4) increased leveraging of government resources in support of gender and development and women’s economic empowerment (WEE). Partnership with the private sector, notably the Echosi Foundation, also greatly contributed to help women micro entrepreneurs enhance their products, access higher end markets, and grow their business.     In total, the project assisted 13,780 women micro-entrepreneurs (WMEs) in 204 WME groups across 45 local government units to have increased access to public and private sector programs and services thus expanding their market access opportunities. In the last two years of the project, WMEs recorded additional sales totaling CAN$125,000. By project end, 1,021 WMEs (or 7% of total assisted) had registered their businesses. 1,246 WMEs (or 9% of total assisted) had access to social protection and occupational safety and health.   These results have contributed to creating positive changes in WMEs’ lives, i.e. in increased community participation, improved gender relations in the households surveyed.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""751000.00"", ""1647000.00"", ""1525000.00"", ""1230000.00"", ""1580000.00"", ""267000.00""]","[""14.6042 120.9822""]","[""2006000620""]","[""Government of the Philippines - Philippines Commission on Women ""]",,,"[""6026656.56"", ""-9827.33"", ""-15505.40"", ""-943.61"", ""-7675.13"", ""-14535.88"", ""-7827.85"", ""-2148.74"", ""-11848.45"", ""-6738.52"", ""-17415.66"", ""-12679.94"", ""-12581.98"", ""-13150.73"", ""-2847.35""]"
8,CA-3-A030608001,2025-03-04T06:33:31,Improving the Quality of Primary Education,"The project aims to build the capacity of the Ministry of Education’s Department of Planning to support the implementation of the National Education Strategic Plan, promote the integration of child-friendly schools in the National Plan, and equip schools and communities with tools to enable them to establish child-friendly school environments. In order to promote equitable, quality basic education for all children (girls and boys), the project focuses on the most disadvantaged children through a range of innovative programs and initiatives in education, with an emphasis on gender equality and eliminating disparities of all kinds.",Closed,2007-03-28T00:00:00,2009-03-17T00:00:00,"[""Malawi 100.00%""]",UNICEF - United Nations Children's Fund ,"[""Education policy and administrative management 25.00%"", ""Teacher training 25.00%"", ""Educational research 15.00%"", ""Primary education 35.00%""]",7250000.00,,,"Results achieved as of the end of the project (June 2011) include: (1) the training of 6,568 primary school teachers in teaching life skills, benefitting an estimated 2,192,082 boys and girls across the country; (2) training and deploying 549 primary school female teachers to rural areas where they have become role models to young learners; (3) the creation of child-friendly learning environments in target areas that have provided children, particularly girls, with opportunities to enroll, participate and remain in school; (4) supplying 'school-in-a-box' kits which have benefitted over 25,000 learners; (5) the enrolment of 83,627 children with various learning needs to primary schools in Malawi; and (6) the development and operationalization of the Education Sector Wide Approach (SWAp) and support to the Fast Track Initiative.",Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1500000.00"", ""3000000.00"", ""3000000.00""]","[""-13.96692 33.78725""]","[""2007000005""]","[""UNICEF - United Nations Children's Fund ""]",,,"[""7250000.00"", ""1500000.00"", ""1500000.00"", ""2500000.00"", ""1750000.00""]"
9,CA-3-A030788001,2025-03-04T06:33:31,Financial Sector Deepening Program - Phase I,"The program aims to strengthen the pro-poor financial sector in Tanzania. It is designed to improve the policy, institutional, legal, and regulatory framework for financial services; to provide more and better financial services available to meet the needs of micro, small and medium-sized entreprises and poor households; and to provide enhanced business services for microfinance institutions. Currently, access to financial services including micro-credit is vastly inadequate and this program is contributing to significantly increasing the number of people that are served by some form of financial institution.   The program involves Canadian, international and local technical assistance to strengthen the network of Savings and Credit Cooperative Organizations and other micro-finance institutions throughout the country. Canada, and other donors, jointly provide support to this program.",Closed,2005-04-08T00:00:00,2009-12-31T00:00:00,"[""Tanzania 100.00%""]",Registered Trustees of the Financial Sector Deepening Trust ,"[""Financial policy and administrative management 12.00%"", ""Formal sector financial intermediaries 35.00%"", ""Informal/semi-formal financial intermediaries 43.00%"", ""Education/training in banking and financial services 10.00%""]",16981963.22,,,"Results as of June 2010 (end of project) include: 772,450 poor people have accessed financial services from financial institutions assisted through the Financial Sector Deepening Trust (surpassing the target of 565,000). Of this total, 449,225 were women and youth (surpassing the target of 337,000). The volume of credit provided by micro finance providers to micro, small and medium sized enterprises and poor people increased from $115 million in 2009 to $190 million in 2010, while the credit extended to the private sector as a percentage of GDP increased from 10% in 2009 to 18%.",Basket funds/pooled funding,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1000000.00"", ""4000000.00"", ""4000000.00"", ""4000000.00"", ""4000000.00""]","[""-6.17221 35.73947""]","[""2005000010""]","[""Registered Trustees of the Financial Sector Deepening Trust ""]",,"[""CA-3-A030788002""]","[""16981963.22"", ""988328.75"", ""-2846.39"", ""1000000.00"", ""1000000.00"", ""-11481.06"", ""500000.00"", ""-1324.15"", ""1000000.00"", ""7807.81"", ""931478.03"", ""1478.26"", ""1000000.00"", ""1500000.00"", ""1500000.00"", ""1500000.00"", ""3000000.00"", ""3068521.97""]"
10,CA-3-A030788002,2025-03-04T06:33:31,Financial Sector Deepening Program - Phase II,"The program aims to strengthen the pro-poor financial sector in Tanzania. It is designed to improve the policy, institutional, legal, and regulatory framework for financial services; to provide more and better financial services available to meet the needs of micro, small and medium-sized entreprises and poor households; and to provide enhanced business services for microfinance institutions. Currently, access to financial services including micro-credit is vastly inadequate and this program is contributing to significantly increasing the number of people that are served by some form of financial institution.   The program involves Canadian, international and local technical assistance to strengthen the network of Savings and Credit Cooperative Organizations and other micro-finance institutions throughout the country. Canada, and other donors, jointly provide support to this program.   This phase builds on the results of the first phase.",Closed,2010-03-16T00:00:00,2014-03-31T00:00:00,"[""Tanzania 100.00%""]",Registered Trustees of the Financial Sector Deepening Trust ,"[""Information and communication technology (ICT) 8.00%"", ""Financial policy and administrative management 10.00%"", ""Formal sector financial intermediaries 27.00%"", ""Informal/semi-formal financial intermediaries 45.00%"", ""Education/training in banking and financial services 10.00%""]",15000000.00,,,"Results achieved at the end of the project include: (1) Overall, 57.4% of the Tanzanian working population (13,461, 962 people) access finance through formal institutions. This has surpassed the Bank of Tanzania target of 50% formal financial access by 2016 as per the National Financial Inclusion Framework. (2) Financial exclusion has reduced from 55.4% in 2009 to 26.8% in 2013; (3) Tanzanians who exclusively use informal mechanisms of accessing finance decreased from 28.8% in 2009 to 15.8% in 2013; (4) The volume of credit provided by supported micro finance providers to micro, small and medium enterprises and poor people increased from $287M in 2012 to $320M in 2013; (5) The volume of deposits mobilized by supported microfinance providers from micro, small and medium enterprises and poor people increased $212.4M in 2012 to $261.1M in 2013; (6) the number of poor people accessing financial services from supported financial institutions increased from 951,404 in June2012 to 1,117,651 in June 2013; (7) the number of entrepreneur clients at supported microfinance providers with loans in excess of $1,260 increased from 13,373 in June 2012 to 46,871 in June 2013; and (8) the number of female clients at supported microfinance providers with loans in excess of $1,260 has more than doubled from 5,149 in June 2012 to 11,236 in June 2013.   These results are contributing to sustaining and facilitating the creation of microbusinesses and small and medium-sized enterprises and meeting the needs of poor rural and urban people in Tanzania.",Basket funds/pooled funding,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""3600000.00"", ""2314335.00"", ""2314335.00"", ""2771330.00"", ""2000000.00""]","[""-6.17221 35.73947""]","[""2010200003""]","[""Registered Trustees of the Financial Sector Deepening Trust ""]",,"[""CA-3-A030788001""]","[""15000000.00"", ""4000000.00"", ""2000000.00"", ""2000000.00"", ""3000000.00"", ""4000000.00""]"
