title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
Vortex dynamics,No summary - Aucun sommaire,38412-1994,1994,1996-1997,"Ahlborn, Boye",The University of British Columbia,Physics and Astronomy,British Columbia,10000.0,3-4,Discovery Grants Program - Individual,General Physics,Not available,Not available,No Co-Researcher,No Partners,1,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=1
No title - Aucun titre,No summary - Aucun sommaire,170674-1995,1995,1996-1997,"Airriess, Christopher",University of Cambridge,Zoology,Outside Canada,11911.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Life Sciences (H),Cell biology,Not available,No Co-Researcher,No Partners,10,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10
Groundwater treatment for aquifer thermal energy systems,No summary - Aucun sommaire,121956-1995,1995,1996-1997,"Adsett, John",Nova Scotia Agricultural College,Agricultural Engineering,Nova Scotia,14300.0,2-2,Discovery Grants Program - Group,Mechanical Engineering,Waste water treatment,Energy storage and conversion,"Sibley, Kevin",No Partners,100,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100
Representation of newspaper texts,No summary - Aucun sommaire,138879-1993,1993,1996-1997,"Bergler, Sabine",Concordia University,Computer Science,Québec,18000.0,4-5,Discovery Grants Program - Individual,Computing & Information Sci. (H),Natural language and speech understanding,Information systems and technology,No Co-Researcher,No Partners,1000,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=1000
Structure and function of the root epidermis,No summary - Aucun sommaire,560-1996,1996,1996-1997,"Peterson, Carol",University of Waterloo,Biology,Ontario,53500.0,1-4,Discovery Grants Program - Individual,Plant Biology & Food Science,Plant reproduction,Not available,No Co-Researcher,No Partners,10000,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10000
No title - Aucun titre,No summary - Aucun sommaire,120816-1991,1991,1991-1992,"Siddiqi, Nayyer",University of Toronto,Physics,Ontario,2640.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Applied geophysics,Not available,No Co-Researcher,No Partners,100000,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100000
No title - Aucun titre,No summary - Aucun sommaire,93690-1990,1990,1991-1992,"Siddiqi, Waseem",University of Toronto,Industrial Engineering,Ontario,2365.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Operations research and management science,Not available,No Co-Researcher,No Partners,100001,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100001
Optimization of spectral geoid determination methods,No summary - Aucun sommaire,46319-1990,1990,1991-1992,"Sideris, Michael",University of Calgary,Surveying Engineering,Alberta,25433.0,2-3,Discovery Grants Program - Individual,Civil Engineering,Survey engineering and remote sensing,Surveying and photogrammetry,No Co-Researcher,No Partners,100002,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100002
No title - Aucun titre,No summary - Aucun sommaire,118631-1991,1991,1991-1992,"Sidhu, Gurneen",Dalhousie University,Biology,Nova Scotia,2600.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Terrestrial ecology,Not available,No Co-Researcher,No Partners,100003,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100003
Adaptive relays for power system protection,No summary - Aucun sommaire,105638-1991,1991,1991-1992,"Sidhu, Tarlochan",University of Saskatchewan,Electrical Engineering,Saskatchewan,18000.0,1-3,Discovery Grants Program - Individual,Electrical Engineering (H),Power systems,Transport equipment,No Co-Researcher,No Partners,100004,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100004
Fault-tolerant distributed computation; FMS scheduling: theory and software aids; studies in partial order theory,No summary - Aucun sommaire,2507-1989,1989,1991-1992,"Sidney, Jeffrey",University of Ottawa,Administration (Faculty),Ontario,21000.0,3-3,Discovery Grants Program - Individual,Computing & Information Sci. (H),Logistics,Computer communications,No Co-Researcher,No Partners,100005,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100005
No title - Aucun titre,No summary - Aucun sommaire,111959-1991,1991,1991-1992,"Sieder, Felix",McGill University,Microbiology & Immunology,Québec,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100006,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100006
Applications of differential inequalities,No summary - Aucun sommaire,9345-1990,1990,1991-1992,"Siegel, David",University of Waterloo,Applied Mathematics,Ontario,9000.0,2-3,Discovery Grants Program - Individual,Pure & Applied Mathematics (H),Asymptotics and applied classical analysis,Mathematical sciences,No Co-Researcher,No Partners,100007,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100007
The development of reading skills,No summary - Aucun sommaire,1607-1991,1991,1991-1992,"Siegel, Linda",Ontario Institute for Studies in Education,Instruction & Special Education,Ontario,41000.0,1-5,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Cognitive science -- development,Psychology,No Co-Researcher,No Partners,100008,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100008
Microcomputer system for the administration of reading tasks in several languages,No summary - Aucun sommaire,106267-1991,1991,1991-1992,"Siegel, Linda",Ontario Institute for Studies in Education,Instruction & Special Education,Ontario,10970.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)","Psychology: Brain, Behaviour & Cognitive Sciences",Cognitive science -- development,Psychology,No Co-Researcher,No Partners,100009,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100009
Investigation of children's narratives and eyewitness memory,No summary - Aucun sommaire,513-1993,1993,1996-1997,"Peterson, Carole",Memorial University of Newfoundland,Psychology,Newfoundland and Labrador,26000.0,4-4,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Not available,Life sciences (including biotechnology),No Co-Researcher,No Partners,10001,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10001
"Dev. of reading and math skills in children and learning disabilities;visit to the Institute of Psychology, Chinese Academy of Sciences, Beijing, China",No summary - Aucun sommaire,106359-1990,1990,1991-1992,"Siegel, Linda",Ontario Institute for Studies in Education,Instruction & Special Education,Ontario,2115.0,1-1,Bilateral Exchange Program (H),International Relations (H),Cognitive science -- development,Psychology,No Co-Researcher,No Partners,100010,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100010
No title - Aucun titre,No summary - Aucun sommaire,116358-1991,1991,1991-1992,"Siegel, Marc",University of Waterloo,Chemical Engineering,Ontario,11764.0,Not available,Canada International Fellowships (H),Schol/Fellow: Eng/Comp Science (H),Transport processes,Not available,No Co-Researcher,No Partners,100011,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100011
Pharmacological learning,No summary - Aucun sommaire,298-1991,1991,1991-1992,"Siegel, Shepard",McMaster University,Psychology,Ontario,65000.0,1-5,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Behavioural neuroscience,Psychology,No Co-Researcher,No Partners,100012,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100012
No title - Aucun titre,No summary - Aucun sommaire,118401-1991,1991,1991-1992,"Siemens, Ron",Cymbolic Sciences International,Head Office,British Columbia,3200.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Schol/Fellow: Eng/Comp Science (H),Software and development,Not available,No Co-Researcher,No Partners,100013,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100013
Mathematical questions of quantum-mechanical many-body problem,No summary - Aucun sommaire,7901-1989,1989,1991-1992,"Sigal, Israel",University of Toronto,Mathematics,Ontario,43000.0,3-3,Discovery Grants Program - Individual,Pure & Applied Mathematics (H),Mathematical physics,Mathematical sciences,No Co-Researcher,No Partners,100014,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100014
Taxonomy and ecology of microfungi,No summary - Aucun sommaire,3755-1990,1990,1991-1992,"Sigler, Lynne",University of Alberta,Devonian Botanic Garden,Alberta,18000.0,2-3,Discovery Grants Program - Individual,Plant Biology & Food Science,Not available,Agriculture and primary food production,No Co-Researcher,No Partners,100015,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100015
University of Alberta microfungus and herbarium (UAMH),No summary - Aucun sommaire,24195-1990,1990,1991-1992,"Sigler, Lynne",University of Alberta,Devonian Botanic Garden,Alberta,22000.0,2-3,Infrastructure Grants (H),Interdisciplinary,Other studies in natural sciences and engineering,Agriculture and primary food production,"Currah, Randolph",No Partners,100016,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100016
"Past and Present Perspectives, and Future Directions of Physical Anthropology/Human Evolutionary Research in Central and Eastern Europe, Near Guelph or Hamiltion, November 1991",No summary - Aucun sommaire,109687-1991,1991,1991-1992,"Sigmon, Becky",Other University,Anthropology,Other in Canada,10000.0,1-1,Conference Grants (H),Evolution & Ecology,Not available,Not available,No Co-Researcher,No Partners,100017,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100017
No title - Aucun titre,No summary - Aucun sommaire,109342-1991,1991,1991-1992,"Sigurdson, Andrea",University of Victoria,Biochemistry & Microbiology,British Columbia,14996.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100018,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100018
Three-dimensional vortex structure and interaction,No summary - Aucun sommaire,41747-1989,1989,1991-1992,"Sigurdson, Lorenz",University of Alberta,Mechanical Engineering,Alberta,17654.0,3-3,Discovery Grants Program - Individual,Mechanical Engineering,Fluid mechanics,Not available,No Co-Researcher,No Partners,100019,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100019
No title - Aucun titre,No summary - Aucun sommaire,188534-1996,1996,1996-1997,"Peterson, Jennifer",University of New Brunswick,Biology (Fredericton),New Brunswick,15616.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Terrestrial ecology,Not available,No Co-Researcher,No Partners,10002,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10002
No title - Aucun titre,No summary - Aucun sommaire,102776-1990,1990,1991-1992,"Sigurdson, Wade",State University of New York at Buffalo,Biophysical Sciences,New York,19408.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Life Sciences (H),Biophysics,Not available,No Co-Researcher,No Partners,100020,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100020
No title - Aucun titre,No summary - Aucun sommaire,111630-1991,1991,1991-1992,"Sikkema, Arnold",The University of British Columbia,Physics,British Columbia,15238.0,Not available,1967 Science and Engineering Scholarships,Schol/Fellow: Maths/Phys Sc (H),Theoretical physics and chemistry,Not available,No Co-Researcher,No Partners,100021,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100021
