rowid,FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
1,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,0831517 BC Ltd,0831517 BC Ltd,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,129579
2,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,0988081 BC Ltd,0988081 BC Ltd,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,228465
3,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,1067084 BC Ltd,1067084 BC Ltd,Surrey,Surrey,British Columbia,Colombie-Britannique,,,0,439899
4,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,1198054 BC Ltd,1198054 BC Ltd,Richmond,Richmond,British Columbia,Colombie-Britannique,,,0,104622
5,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,8th Generation Vineyard Inc,8th Generation Vineyard Inc,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,100733
6,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,9054-2291 Québec Inc,9054-2291 Québec Inc,Richelieu,Richelieu,Quebec,Québec,,,0,143003
7,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,9124-5936 Québec Inc,9124-5936 Québec Inc,Saint-Eustache,Saint-Eustache,Quebec,Québec,,,0,320014
8,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,9518 Investments Ltd,9518 Investments Ltd,Prince George,Prince George,British Columbia,Colombie-Britannique,,,0,1110979
9,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Andrew Peller Limited,Andrew Peller Limited,Grimsby,Grimsby,Ontario,Ontario,,,0,15997063
10,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Arterra Wines Canada Inc,Arterra Wines Canada Inc,Mississauga,Mississauga,Ontario,Ontario,,,0,20980008
11,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Backyard Vineyards Corporation,Backyard Vineyards Corporation,Toronto,Toronto,Ontario,Ontario,,,0,171545
12,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Blasted Church Vineyards Inc,Blasted Church Vineyards Inc,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,196352
13,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Blue Mountain Vineyard and Cellars,Blue Mountain Vineyard and Cellars,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,282895
14,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Bordertown Vineyard & Estate Winery,Bordertown Vineyard & Estate Winery,Osoyoos,Osoyoos,British Columbia,Colombie-Britannique,,,0,247050
15,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Burrowing Owl Vineyards Ltd,Burrowing Owl Vineyards Ltd,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,923565
16,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Canada West Tree Fruits Ltd,Canada West Tree Fruits Ltd,Kelowna,Kelowna,British Columbia,Colombie-Britannique,,,0,117061
17,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Cannon Estate Winery Ltd,Cannon Estate Winery Ltd,Abbotsford,Abbotsford,British Columbia,Colombie-Britannique,,,0,108680
18,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Cave Spring Cellars,Cave Spring Cellars,Vineland,Vineland,Ontario,Ontario,,,0,519968
